"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3051","Проверка перехода на страницу производителя","chromium","Tue Dec 31 01:47:06 GMT 2024","passed","Tue Dec 31 01:47:09 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","14331","Проверка кнопки Return the store","chromium","Tue Dec 31 01:47:41 GMT 2024","failed","Tue Dec 31 01:47:56 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","6652","Проверка пагинации","chromium","Tue Dec 31 01:46:58 GMT 2024","failed","Tue Dec 31 01:47:05 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","6195","Смена валюты","chromium","Tue Dec 31 01:46:07 GMT 2024","passed","Tue Dec 31 01:46:14 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","8614","Оставить отзыв","chromium","Tue Dec 31 01:46:33 GMT 2024","failed","Tue Dec 31 01:46:42 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
