"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7471","Оставить отзыв","chromium","Mon Dec 30 01:49:52 GMT 2024","failed","Mon Dec 30 01:49:59 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","6640","Проверка пагинации","chromium","Mon Dec 30 01:50:15 GMT 2024","failed","Mon Dec 30 01:50:21 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2527","Смена валюты","chromium","Mon Dec 30 01:49:32 GMT 2024","passed","Mon Dec 30 01:49:35 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","13598","Проверка кнопки Return the store","chromium","Mon Dec 30 01:50:54 GMT 2024","failed","Mon Dec 30 01:51:07 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2878","Проверка перехода на страницу производителя","chromium","Mon Dec 30 01:50:22 GMT 2024","passed","Mon Dec 30 01:50:25 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
