"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6335","Проверка пагинации","chromium","Sat Jan 25 01:40:27 GMT 2025","failed","Sat Jan 25 01:40:33 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","14688","Проверка кнопки Return the store","chromium","Sat Jan 25 01:41:39 GMT 2025","failed","Sat Jan 25 01:41:54 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","5733","Проверка перехода на страницу производителя","chromium","Sat Jan 25 01:40:51 GMT 2025","passed","Sat Jan 25 01:40:57 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2304","Смена валюты","chromium","Sat Jan 25 01:39:45 GMT 2025","passed","Sat Jan 25 01:39:47 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","8050","Оставить отзыв","chromium","Sat Jan 25 01:40:04 GMT 2025","failed","Sat Jan 25 01:40:12 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
