"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6404","Проверка пагинации","chromium","Tue Dec 24 01:47:28 GMT 2024","failed","Tue Dec 24 01:47:35 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2874","Смена валюты","chromium","Tue Dec 24 01:46:46 GMT 2024","passed","Tue Dec 24 01:46:49 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","15648","Проверка кнопки Return the store","chromium","Tue Dec 24 01:48:11 GMT 2024","failed","Tue Dec 24 01:48:27 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7596","Оставить отзыв","chromium","Tue Dec 24 01:47:05 GMT 2024","failed","Tue Dec 24 01:47:13 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3152","Проверка перехода на страницу производителя","chromium","Tue Dec 24 01:47:36 GMT 2024","passed","Tue Dec 24 01:47:39 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
