"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6537","Проверка пагинации","chromium","Thu Dec 26 01:46:29 GMT 2024","failed","Thu Dec 26 01:46:36 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2451","Смена валюты","chromium","Thu Dec 26 01:45:41 GMT 2024","passed","Thu Dec 26 01:45:44 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","14285","Проверка кнопки Return the store","chromium","Thu Dec 26 01:47:09 GMT 2024","failed","Thu Dec 26 01:47:23 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3173","Проверка перехода на страницу производителя","chromium","Thu Dec 26 01:46:36 GMT 2024","passed","Thu Dec 26 01:46:40 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7558","Оставить отзыв","chromium","Thu Dec 26 01:46:01 GMT 2024","failed","Thu Dec 26 01:46:08 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
