"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6595","Проверка пагинации","chromium","Mon Dec 23 01:49:42 GMT 2024","failed","Mon Dec 23 01:49:49 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","13213","Проверка кнопки Return the store","chromium","Mon Dec 23 01:50:22 GMT 2024","failed","Mon Dec 23 01:50:35 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3512","Смена валюты","chromium","Mon Dec 23 01:48:59 GMT 2024","passed","Mon Dec 23 01:49:03 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7592","Оставить отзыв","chromium","Mon Dec 23 01:49:19 GMT 2024","failed","Mon Dec 23 01:49:27 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3181","Проверка перехода на страницу производителя","chromium","Mon Dec 23 01:49:49 GMT 2024","passed","Mon Dec 23 01:49:53 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
