"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7355","Оставить отзыв","chromium","Sun Dec 22 01:54:10 GMT 2024","failed","Sun Dec 22 01:54:17 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","9149","Смена валюты","chromium","Sun Dec 22 01:53:43 GMT 2024","passed","Sun Dec 22 01:53:52 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","6763","Проверка пагинации","chromium","Sun Dec 22 01:54:32 GMT 2024","failed","Sun Dec 22 01:54:39 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3084","Проверка перехода на страницу производителя","chromium","Sun Dec 22 01:54:40 GMT 2024","passed","Sun Dec 22 01:54:43 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","16798","Проверка кнопки Return the store","chromium","Sun Dec 22 01:55:14 GMT 2024","failed","Sun Dec 22 01:55:31 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
