"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6444","Проверка пагинации","chromium","Tue Jan 21 01:44:19 GMT 2025","failed","Tue Jan 21 01:44:25 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","16166","Проверка кнопки Return the store","chromium","Tue Jan 21 01:44:58 GMT 2025","failed","Tue Jan 21 01:45:14 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2978","Проверка перехода на страницу производителя","chromium","Tue Jan 21 01:44:26 GMT 2025","passed","Tue Jan 21 01:44:29 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7506","Оставить отзыв","chromium","Tue Jan 21 01:43:56 GMT 2025","failed","Tue Jan 21 01:44:03 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2865","Смена валюты","chromium","Tue Jan 21 01:43:36 GMT 2025","passed","Tue Jan 21 01:43:39 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
