"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6360","Проверка пагинации","chromium","Sun Jan 26 01:47:42 GMT 2025","failed","Sun Jan 26 01:47:49 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3922","Смена валюты","chromium","Sun Jan 26 01:46:58 GMT 2025","passed","Sun Jan 26 01:47:02 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2925","Проверка перехода на страницу производителя","chromium","Sun Jan 26 01:47:49 GMT 2025","passed","Sun Jan 26 01:47:52 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","13605","Проверка кнопки Return the store","chromium","Sun Jan 26 01:48:22 GMT 2025","failed","Sun Jan 26 01:48:36 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7820","Оставить отзыв","chromium","Sun Jan 26 01:47:19 GMT 2025","failed","Sun Jan 26 01:47:27 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
