"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6341","Проверка пагинации","chromium","Wed Jan 08 01:47:47 GMT 2025","failed","Wed Jan 08 01:47:53 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2544","Проверка перехода на страницу производителя","chromium","Wed Jan 08 01:47:54 GMT 2025","passed","Wed Jan 08 01:47:57 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7133","Оставить отзыв","chromium","Wed Jan 08 01:47:25 GMT 2025","failed","Wed Jan 08 01:47:32 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","14487","Проверка кнопки Return the store","chromium","Wed Jan 08 01:48:28 GMT 2025","failed","Wed Jan 08 01:48:42 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2384","Смена валюты","chromium","Wed Jan 08 01:47:06 GMT 2025","passed","Wed Jan 08 01:47:08 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
