"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7958","Проверка пагинации","chromium","Sat Jan 18 01:41:21 GMT 2025","failed","Sat Jan 18 01:41:29 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3517","Смена валюты","chromium","Sat Jan 18 01:40:36 GMT 2025","passed","Sat Jan 18 01:40:40 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","14310","Проверка кнопки Return the store","chromium","Sat Jan 18 01:42:05 GMT 2025","failed","Sat Jan 18 01:42:20 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","8401","Оставить отзыв","chromium","Sat Jan 18 01:40:57 GMT 2025","failed","Sat Jan 18 01:41:06 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3325","Проверка перехода на страницу производителя","chromium","Sat Jan 18 01:41:30 GMT 2025","passed","Sat Jan 18 01:41:33 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
