"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15072","Проверка кнопки Return the store","chromium","Thu Jan 30 01:43:52 GMT 2025","failed","Thu Jan 30 01:44:07 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3390","Смена валюты","chromium","Thu Jan 30 01:42:21 GMT 2025","passed","Thu Jan 30 01:42:25 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","6532","Проверка пагинации","chromium","Thu Jan 30 01:43:09 GMT 2025","failed","Thu Jan 30 01:43:15 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3053","Проверка перехода на страницу производителя","chromium","Thu Jan 30 01:43:16 GMT 2025","passed","Thu Jan 30 01:43:19 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7526","Оставить отзыв","chromium","Thu Jan 30 01:42:43 GMT 2025","failed","Thu Jan 30 01:42:51 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
