"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6975","Оставить отзыв","chromium","Sun Dec 29 01:55:11 GMT 2024","failed","Sun Dec 29 01:55:18 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7029","Проверка пагинации","chromium","Sun Dec 29 01:55:33 GMT 2024","failed","Sun Dec 29 01:55:40 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3279","Проверка перехода на страницу производителя","chromium","Sun Dec 29 01:55:41 GMT 2024","passed","Sun Dec 29 01:55:44 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","13428","Проверка кнопки Return the store","chromium","Sun Dec 29 01:56:17 GMT 2024","failed","Sun Dec 29 01:56:31 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2230","Смена валюты","chromium","Sun Dec 29 01:54:52 GMT 2024","passed","Sun Dec 29 01:54:54 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
