"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2618","Проверка перехода на страницу производителя","chromium","Wed Jan 01 01:55:30 GMT 2025","passed","Wed Jan 01 01:55:33 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2294","Смена валюты","chromium","Wed Jan 01 01:54:43 GMT 2025","passed","Wed Jan 01 01:54:46 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","12697","Проверка кнопки Return the store","chromium","Wed Jan 01 01:56:01 GMT 2025","failed","Wed Jan 01 01:56:13 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","6262","Проверка пагинации","chromium","Wed Jan 01 01:55:24 GMT 2025","failed","Wed Jan 01 01:55:30 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7096","Оставить отзыв","chromium","Wed Jan 01 01:55:02 GMT 2025","failed","Wed Jan 01 01:55:09 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
