"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6595","Проверка пагинации","chromium","Sun Jan 19 01:50:52 GMT 2025","failed","Sun Jan 19 01:50:59 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7170","Оставить отзыв","chromium","Sun Jan 19 01:50:30 GMT 2025","failed","Sun Jan 19 01:50:37 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3253","Проверка перехода на страницу производителя","chromium","Sun Jan 19 01:51:00 GMT 2025","passed","Sun Jan 19 01:51:03 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","13344","Проверка кнопки Return the store","chromium","Sun Jan 19 01:51:33 GMT 2025","failed","Sun Jan 19 01:51:47 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2560","Смена валюты","chromium","Sun Jan 19 01:50:11 GMT 2025","passed","Sun Jan 19 01:50:13 GMT 2025","Проверка сервиса Academybugs","academybugs.spec.js","",""
