"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2268","Оставить отзыв","chromium","Wed Dec 18 19:17:45 GMT 2024","passed","Wed Dec 18 19:17:47 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","3021","Проверка перехода на страницу производителя","chromium","Wed Dec 18 19:17:48 GMT 2024","passed","Wed Dec 18 19:17:51 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","7938","Проверка кнопки Return the store","chromium","Wed Dec 18 19:17:51 GMT 2024","passed","Wed Dec 18 19:17:59 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","2498","Смена валюты","chromium","Wed Dec 18 19:17:42 GMT 2024","passed","Wed Dec 18 19:17:44 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
"","1471","Проверка пагинации","chromium","Wed Dec 18 19:17:47 GMT 2024","passed","Wed Dec 18 19:17:48 GMT 2024","Проверка сервиса Academybugs","academybugs.spec.js","",""
